epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,550.96,0.0828,0.60848,0.88141,0.81551,0.76709,0.88115,0.87306,0.13383,0.57314,0.18998,0.0006634,0.0006634,0.0006634
19,581.76,0.08157,0.59488,0.88016,0.86906,0.81719,0.92529,0.91946,0.16624,0.56049,0.22404,0.0006436,0.0006436,0.0006436
20,612.684,0.07851,0.58994,0.87755,0.87843,0.80542,0.9178,0.91403,0.17658,0.56732,0.23919,0.0006238,0.0006238,0.0006238
21,643.884,0.07042,0.54855,0.88079,0.8843,0.85925,0.92863,0.92691,0.12968,0.4371,0.19313,0.000604,0.000604,0.000604
22,675.294,0.07296,0.54855,0.87886,0.90801,0.89036,0.94326,0.94101,0.14109,0.41488,0.2087,0.0005842,0.0005842,0.0005842
23,706.531,0.07159,0.5444,0.88024,0.87116,0.85135,0.94089,0.9301,0.2191,0.51281,0.30112,0.0005644,0.0005644,0.0005644
24,737.699,0.07392,0.52773,0.88071,0.86892,0.78122,0.88991,0.88696,0.19709,0.55697,0.27651,0.0005446,0.0005446,0.0005446
25,768.801,0.07165,0.50735,0.8797,0.92405,0.85691,0.94691,0.94341,0.22473,0.47773,0.30955,0.0005248,0.0005248,0.0005248
26,799.982,0.06871,0.4973,0.88237,0.7164,0.78045,0.84033,0.83999,0.15308,0.87265,0.20672,0.000505,0.000505,0.000505
27,831.29,0.0645,0.49376,0.88251,0.8333,0.87217,0.93005,0.92229,0.19465,0.58059,0.2109,0.0004852,0.0004852,0.0004852
28,862.582,0.06227,0.48795,0.8797,0.90256,0.87148,0.94511,0.94363,0.16145,0.42787,0.21927,0.0004654,0.0004654,0.0004654
29,893.826,0.06065,0.46622,0.87597,0.90455,0.89699,0.95311,0.95311,0.10014,0.36393,0.15565,0.0004456,0.0004456,0.0004456
30,927.15,0.06004,0.45988,0.88112,0.92626,0.90434,0.96049,0.95786,0.10971,0.33897,0.16204,0.0004258,0.0004258,0.0004258
31,959.643,0.059,0.44049,0.87397,0.87173,0.87023,0.9341,0.9318,0.15683,0.41321,0.21264,0.000406,0.000406,0.000406
32,991.329,0.05759,0.43714,0.8799,0.8867,0.88323,0.95834,0.95748,0.09274,0.38102,0.13074,0.0003862,0.0003862,0.0003862
33,1022.73,0.05485,0.42377,0.87754,0.93002,0.83933,0.9335,0.93005,0.15556,0.4313,0.2171,0.0003664,0.0003664,0.0003664
34,1054.57,0.05383,0.43214,0.87855,0.90888,0.91018,0.95742,0.9545,0.16525,0.37788,0.24953,0.0003466,0.0003466,0.0003466
35,1086.65,0.05621,0.41761,0.87618,0.90229,0.90789,0.94791,0.94659,0.12823,0.37491,0.18027,0.0003268,0.0003268,0.0003268
36,1118.36,0.05406,0.41219,0.87324,0.90375,0.87398,0.95099,0.94847,0.10944,0.39913,0.15959,0.000307,0.000307,0.000307
37,1150.28,0.0493,0.39132,0.87326,0.88497,0.88856,0.9525,0.94968,0.11926,0.40226,0.1713,0.0002872,0.0002872,0.0002872
38,1182.66,0.04872,0.39559,0.87174,0.91803,0.9129,0.96472,0.96083,0.15383,0.37442,0.21439,0.0002674,0.0002674,0.0002674
39,1216.97,0.04807,0.37144,0.87565,0.89554,0.92988,0.9648,0.96206,0.08826,0.33556,0.13179,0.0002476,0.0002476,0.0002476
40,1249.64,0.04489,0.35641,0.87345,0.95765,0.85096,0.95652,0.95469,0.11226,0.33575,0.14839,0.0002278,0.0002278,0.0002278
